2024-06-27 00:00:19; INFO; Loopback Stream; 6416; 33976] CallLibrary Start
2024-06-27 15:24:24; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After release COM
2024-06-27 15:24:24; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-06-27 15:24:24; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Enter
2024-06-27 15:24:24; INFO; Utility Plugin; 6416; 12068] m_uiPCR7BindingStatus = 3
2024-06-27 15:24:24; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Finish, successful
2024-06-27 15:24:24; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-06-27 15:24:24; INFO; Utility Plugin; 6416; 12068] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-06-27 15:24:24; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-06-27 15:24:24; INFO; Utility Plugin; 6416; 12068] Fail because bios does not support WMI ID 0x00060096

2024-06-27 15:24:24; INFO; Utility Plugin; 6416; 12068] NotifyBitLockerStatus() Finish
2024-06-27 15:24:26; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-27 15:24:26; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-27 15:24:27; INFO; User Session Manager; 6416; 5828] OnDeviceChange Start
2024-06-27 15:24:27; INFO; User Session Manager; 6416; 5828] OnDeviceChange End
2024-06-27 15:24:32; INFO; User Session Manager; 6416; 5828] OnPowerChange Start
2024-06-27 15:24:32; CRITICAL; Utility Plugin; 6416; 12068] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display Off
2024-06-27 15:24:32; INFO; User Session Manager; 6416; 5828] OnPowerChange End
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] close display, notify bios bitlocker status
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] Enter NotifyBitLockerStatus()
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before System Folder
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After System Folder is C:\Windows\system32
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before IsBitLockerEnabled()
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Try Get ConversaionStatus
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Finish Get ConversaionStatus
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before release COM
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After release COM
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After IsBitLockerEnabled() = 1
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Enter
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] m_uiPCR7BindingStatus = 3
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] CheckPCR7Stats() Finish, successful
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: Before Two_WMIMethod_INT()
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] dwBitLockerEnable = 1 ; m_b2023Project = 0 ; m_uiPCR7BindingStatus = 3
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] IsBitLockerEnabled: After Two_WMIMethod_INT()
2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] Fail because bios does not support WMI ID 0x00060096

2024-06-27 15:24:32; INFO; Utility Plugin; 6416; 12068] NotifyBitLockerStatus() Finish
